,name,Tmeteo,Tmorpho (Â°C),Dmorpho (m),vitesse vent (m/s),Hauteur batiment (m),%O
252,morphologie_1 hauteur bat 8,31.92099999999996,33.91492323559279,41.0,4.6,8,36.0
253,morphologie_1 hauteur bat 16,31.92099999999996,33.96073790302107,46.0,4.6,16,36.0
254,morphologie_1 hauteur bat 32,31.92099999999996,34.16955515359228,88.0,4.6,32,36.0
255,morphologie_2 hauteur bat 8,31.92099999999996,34.36104032749428,66.0,4.6,8,43.1
256,morphologie_2 hauteur bat 16,31.92099999999996,34.23849472105864,79.0,4.6,16,43.1
257,morphologie_2 hauteur bat 32,31.92099999999996,33.74779687261996,81.0,4.6,32,43.1
258,morphologie_3 hauteur bat 8,31.92099999999996,34.361563199819976,68.0,4.6,8,45.0
259,morphologie_3 hauteur bat 16,31.92099999999996,34.04547202520253,63.0,4.6,16,45.0
260,morphologie_3 hauteur bat 32,31.92099999999996,33.91178706120612,74.0,4.6,32,45.0
261,morphologie_4 hauteur bat 8,31.92099999999996,33.36027648514852,37.0,4.6,8,62.5
262,morphologie_4 hauteur bat 16,31.92099999999996,33.382640326993226,40.0,4.6,16,62.5
263,morphologie_4 hauteur bat 32,31.92099999999996,33.479029699713394,36.0,4.6,32,62.5
264,morphologie_5 hauteur bat 8,31.92099999999996,33.46084599638535,42.0,4.6,8,60.0
265,morphologie_5 hauteur bat 16,31.92099999999996,33.37177418277542,36.0,4.6,16,60.0
266,morphologie_5 hauteur bat 32,31.92099999999996,33.16200837262298,35.0,4.6,32,60.0
267,morphologie_6 hauteur bat 8,31.92099999999996,33.99460389674682,76.0,4.6,8,61.5
268,morphologie_6 hauteur bat 16,31.92099999999996,33.86212020862801,63.0,4.6,16,61.5
269,morphologie_6 hauteur bat 32,31.92099999999996,33.76468985148515,72.0,4.6,32,61.5
270,morphologie_7 hauteur bat 8,31.92099999999996,33.40057902762498,50.0,4.6,8,78.0
271,morphologie_7 hauteur bat 16,31.92099999999996,33.301071452145216,52.0,4.6,16,78.0
272,morphologie_7 hauteur bat 32,31.92099999999996,33.29559231145337,56.0,4.6,32,78.0
756,morphologie_1 hauteur bat 8,31.92099999999996,34.16539335491242,24.0,1.6,8,36.0
757,morphologie_1 hauteur bat 16,31.92099999999996,34.07996718710333,66.0,1.6,16,36.0
758,morphologie_1 hauteur bat 32,31.92099999999996,33.76011844376745,39.0,1.6,32,36.0
759,morphologie_2 hauteur bat 8,31.92099999999996,34.933273038842344,55.0,1.6,8,43.1
760,morphologie_2 hauteur bat 16,31.92099999999996,34.61707463823305,64.0,1.6,16,43.1
761,morphologie_2 hauteur bat 32,31.92099999999996,34.339915079969536,74.0,1.6,32,43.1
762,morphologie_3 hauteur bat 8,31.92099999999996,35.07824707020702,53.0,1.6,8,45.0
763,morphologie_3 hauteur bat 16,31.92099999999996,34.41419193519352,41.0,1.6,16,45.0
764,morphologie_3 hauteur bat 32,31.92099999999996,34.25923789828983,54.0,1.6,32,45.0
765,morphologie_4 hauteur bat 8,31.92099999999996,34.00573556539864,30.0,1.6,8,62.5
766,morphologie_4 hauteur bat 16,31.92099999999996,33.90017066831683,56.0,1.6,16,62.5
767,morphologie_4 hauteur bat 32,31.92099999999996,33.76717239447629,126.47256377492104,1.6,32,62.5
768,morphologie_5 hauteur bat 8,31.92099999999996,33.7357496581801,26.0,1.6,8,60.0
769,morphologie_5 hauteur bat 16,31.92099999999996,33.63208913248468,32.0,1.6,16,60.0
770,morphologie_5 hauteur bat 32,31.92099999999996,33.599803618576146,37.0,1.6,32,60.0
771,morphologie_6 hauteur bat 8,31.92099999999996,34.34314350424329,4.0,1.6,8,61.5
772,morphologie_6 hauteur bat 16,31.92099999999996,34.21715258486563,54.0,1.6,16,61.5
773,morphologie_6 hauteur bat 32,31.92099999999996,33.98183089816125,55.0,1.6,32,61.5
774,morphologie_7 hauteur bat 8,31.92099999999996,33.561931295073954,12.0,1.6,8,78.0
775,morphologie_7 hauteur bat 16,31.92099999999996,33.401703416452754,17.0,1.6,16,78.0
776,morphologie_7 hauteur bat 32,31.92099999999996,33.519397701992425,37.0,1.6,32,78.0
